race_id,driver_id,team_id,start_position,final_position,grid_result,fastest_lap,points,position_gain
14,7,4,5,6,1,1:31.169,8,-1
14,8,5,1,4,3,1:31.537,12,-3
14,9,5,10,10,0,9:99.999,0,0
14,10,4,4,7,3,1:31.715,0,-3
15,1,1,10,10,0,9:99.999,0,0
15,2,1,4,4,0,2:03.791,5,0
15,3,2,2,2,0,1:59.698,7,0
15,4,2,6,3,-3,2:02.842,6,3
15,5,3,1,1,0,1:59.432,8,0
15,6,3,10,10,0,9:99.999,0,0
15,7,4,3,5,2,2:04.203,4,-2
15,8,5,5,6,1,2:01.323,3,-1
15,9,5,10,10,0,9:99.999,0,0
15,10,4,10,10,0,9:99.999,0,0
16,1,1,10,10,0,9:99.999,0,0
16,2,1,6,3,-3,1:48.208,15,3
16,3,2,2,2,0,1:45.939,18,0
16,4,2,5,5,0,1:48.321,10,0
16,5,3,1,1,0,1:45.602,25,0
16,6,3,10,10,0,9:99.999,0,0
16,7,4,4,6,2,1:47.159,8,-2
16,8,5,3,4,1,1:47.385,12,-1
16,9,5,10,10,0,9:99.999,0,0
16,10,4,10,10,0,9:99.999,0,0
17,1,1,10,10,0,9:99.999,0,0
17,2,1,7,5,-2,1:19.841,10,2
17,3,2,3,4,1,1:18.354,12,-1
17,4,2,4,6,2,1:19.037,8,-2
